2020-08-30 21:08:75 INFO  LoginStep:38 - Entering username and password and click on login button
2020-08-30 21:08:836 INFO  UtilityClass:106 - wait for element ele value[[ChromeDriver: chrome on WINDOWS (031ceed4092c0d9b661d675c8cfe8a5a)] -> xpath: //input[@type='email']]
2020-08-30 21:08:42 INFO  UtilityClass:106 - wait for element ele value[[ChromeDriver: chrome on WINDOWS (031ceed4092c0d9b661d675c8cfe8a5a)] -> class name: password]
2020-08-30 21:08:203 INFO  LoginStep:45 - clicking on get started button
2020-08-30 21:08:298 INFO  UtilityClass:106 - wait for element ele value[[ChromeDriver: chrome on WINDOWS (031ceed4092c0d9b661d675c8cfe8a5a)] -> xpath: //button[@type='submit']]
2020-08-30 21:08:429 INFO  LoginStep:51 - Validating floating message
2020-08-30 21:08:537 INFO  UtilityClass:106 - wait for element ele value[[ChromeDriver: chrome on WINDOWS (031ceed4092c0d9b661d675c8cfe8a5a)] -> class name: ant-notification-notice-with-icon]
2020-08-30 21:08:634 INFO  UtilityClass:106 - wait for element ele value[[ChromeDriver: chrome on WINDOWS (031ceed4092c0d9b661d675c8cfe8a5a)] -> class name: ant-notification-notice-description]
2020-08-30 21:08:682 INFO  UtilityClass:123 - **********************************************
2020-08-30 21:08:683 INFO  UtilityClass:124 - Toast message is----> The email address is badly formatted.
2020-08-30 21:08:683 INFO  UtilityClass:125 - **********************************************
2020-08-30 21:08:769 INFO  LoginStep:38 - Entering username and password and click on login button
2020-08-30 21:08:841 INFO  UtilityClass:106 - wait for element ele value[[ChromeDriver: chrome on WINDOWS (d58068b11d7f399be03459b91e0aaf90)] -> xpath: //input[@type='email']]
2020-08-30 21:08:106 INFO  UtilityClass:106 - wait for element ele value[[ChromeDriver: chrome on WINDOWS (d58068b11d7f399be03459b91e0aaf90)] -> class name: password]
2020-08-30 21:08:254 INFO  LoginStep:45 - clicking on get started button
2020-08-30 21:08:362 INFO  UtilityClass:106 - wait for element ele value[[ChromeDriver: chrome on WINDOWS (d58068b11d7f399be03459b91e0aaf90)] -> xpath: //button[@type='submit']]
2020-08-30 21:08:468 INFO  LoginStep:51 - Validating floating message
2020-08-30 21:08:589 INFO  UtilityClass:106 - wait for element ele value[[ChromeDriver: chrome on WINDOWS (d58068b11d7f399be03459b91e0aaf90)] -> class name: ant-notification-notice-with-icon]
2020-08-30 21:08:690 INFO  UtilityClass:106 - wait for element ele value[[ChromeDriver: chrome on WINDOWS (d58068b11d7f399be03459b91e0aaf90)] -> class name: ant-notification-notice-description]
2020-08-30 21:08:743 INFO  UtilityClass:123 - **********************************************
2020-08-30 21:08:744 INFO  UtilityClass:124 - Toast message is----> There is no user record corresponding to this identifier. The user may have been deleted.
2020-08-30 21:08:745 INFO  UtilityClass:125 - **********************************************
2020-08-30 21:08:721 INFO  LoginStep:84 - User is on Sign in page
2020-08-30 21:08:27 INFO  UtilityClass:106 - wait for element ele value[[ChromeDriver: chrome on WINDOWS (b3c6765a82ea2a442bb6e52b1de082e6)] -> xpath: //*[contains(text(),'Sign In with Google')]]
2020-08-30 21:08:162 INFO  LoginStep:91 - User is on Sign in page
2020-08-30 21:08:276 INFO  LoginStep:38 - Entering username and password and click on login button
2020-08-30 21:08:499 INFO  UtilityClass:106 - wait for element ele value[[ChromeDriver: chrome on WINDOWS (cfaba92f8e7e71d797658f0adf2a251b)] -> xpath: //input[@type='email']]
2020-08-30 21:08:891 INFO  UtilityClass:106 - wait for element ele value[[ChromeDriver: chrome on WINDOWS (cfaba92f8e7e71d797658f0adf2a251b)] -> class name: password]
2020-08-30 21:08:54 INFO  LoginStep:45 - clicking on get started button
2020-08-30 21:08:146 INFO  UtilityClass:106 - wait for element ele value[[ChromeDriver: chrome on WINDOWS (cfaba92f8e7e71d797658f0adf2a251b)] -> xpath: //button[@type='submit']]
2020-08-30 21:08:259 INFO  LoginStep:51 - Validating floating message
2020-08-30 21:08:820 INFO  UtilityClass:106 - wait for element ele value[[ChromeDriver: chrome on WINDOWS (cfaba92f8e7e71d797658f0adf2a251b)] -> class name: ant-notification-notice-with-icon]
2020-08-30 21:08:920 INFO  UtilityClass:106 - wait for element ele value[[ChromeDriver: chrome on WINDOWS (cfaba92f8e7e71d797658f0adf2a251b)] -> class name: ant-notification-notice-description]
2020-08-30 21:08:983 INFO  UtilityClass:123 - **********************************************
2020-08-30 21:08:983 INFO  UtilityClass:124 - Toast message is----> You have successfully signed in to my.journeybinder.com!
2020-08-30 21:08:984 INFO  UtilityClass:125 - **********************************************
2020-08-30 21:08:80 INFO  UtilityClass:106 - wait for element ele value[[ChromeDriver: chrome on WINDOWS (cfaba92f8e7e71d797658f0adf2a251b)] -> xpath: //a[@href='/']]
2020-08-30 21:08:155 INFO  LoginStep:72 - Dashboard is verified
2020-08-30 21:08:419 INFO  UtilityClass:106 - wait for element ele value[[ChromeDriver: chrome on WINDOWS (cfaba92f8e7e71d797658f0adf2a251b)] -> xpath: //*[contains(text(),'Admin Management')]]
2020-08-30 21:08:664 INFO  UtilityClass:106 - wait for element ele value[[ChromeDriver: chrome on WINDOWS (cfaba92f8e7e71d797658f0adf2a251b)] -> xpath: //*[@class = 'hide-icon']]
2020-08-30 21:08:170 INFO  UtilityClass:106 - wait for element ele value[[ChromeDriver: chrome on WINDOWS (cfaba92f8e7e71d797658f0adf2a251b)] -> xpath: //input[@placeholder='Enter subject']]
2020-08-30 21:08:498 INFO  UtilityClass:106 - wait for element ele value[[ChromeDriver: chrome on WINDOWS (cfaba92f8e7e71d797658f0adf2a251b)] -> xpath: //input[@placeholder='Custom body']]
2020-08-30 21:08:769 INFO  UtilityClass:106 - wait for element ele value[[ChromeDriver: chrome on WINDOWS (cfaba92f8e7e71d797658f0adf2a251b)] -> xpath: //button[contains(text(),'SEND')]]
2020-08-30 21:08:233 INFO  LoginStep:38 - Entering username and password and click on login button
2020-08-30 21:08:771 INFO  UtilityClass:106 - wait for element ele value[[ChromeDriver: chrome on WINDOWS (47d9dad7000572f7640dd7e1b1acc846)] -> xpath: //input[@type='email']]
2020-08-30 21:08:286 INFO  UtilityClass:106 - wait for element ele value[[ChromeDriver: chrome on WINDOWS (47d9dad7000572f7640dd7e1b1acc846)] -> class name: password]
2020-08-30 21:08:457 INFO  LoginStep:45 - clicking on get started button
2020-08-30 21:08:558 INFO  UtilityClass:106 - wait for element ele value[[ChromeDriver: chrome on WINDOWS (47d9dad7000572f7640dd7e1b1acc846)] -> xpath: //button[@type='submit']]
2020-08-30 21:08:671 INFO  LoginStep:51 - Validating floating message
2020-08-30 21:08:599 INFO  UtilityClass:106 - wait for element ele value[[ChromeDriver: chrome on WINDOWS (47d9dad7000572f7640dd7e1b1acc846)] -> class name: ant-notification-notice-with-icon]
2020-08-30 21:08:679 INFO  UtilityClass:106 - wait for element ele value[[ChromeDriver: chrome on WINDOWS (47d9dad7000572f7640dd7e1b1acc846)] -> class name: ant-notification-notice-description]
2020-08-30 21:08:799 INFO  UtilityClass:123 - **********************************************
2020-08-30 21:08:800 INFO  UtilityClass:124 - Toast message is----> You have successfully signed in to my.journeybinder.com!
2020-08-30 21:08:800 INFO  UtilityClass:125 - **********************************************
2020-08-30 21:08:933 INFO  UtilityClass:106 - wait for element ele value[[ChromeDriver: chrome on WINDOWS (47d9dad7000572f7640dd7e1b1acc846)] -> xpath: //a[@href='/']]
2020-08-30 21:08:990 INFO  LoginStep:72 - Dashboard is verified
2020-08-30 22:08:915 INFO  UtilityClass:106 - wait for element ele value[[ChromeDriver: chrome on WINDOWS (47d9dad7000572f7640dd7e1b1acc846)] -> xpath: //*[contains(text(),'Admin Management')]]
2020-08-30 22:08:143 INFO  UtilityClass:106 - wait for element ele value[[ChromeDriver: chrome on WINDOWS (47d9dad7000572f7640dd7e1b1acc846)] -> xpath: //*[@class = 'hide-icon']]
2020-08-30 22:08:511 INFO  UtilityClass:106 - wait for element ele value[[ChromeDriver: chrome on WINDOWS (47d9dad7000572f7640dd7e1b1acc846)] -> xpath: //*[contains(text(),'Push')]]
2020-08-30 22:08:718 INFO  UtilityClass:106 - wait for element ele value[[ChromeDriver: chrome on WINDOWS (47d9dad7000572f7640dd7e1b1acc846)] -> xpath: //input[@placeholder='Enter subject']]
2020-08-30 22:08:989 INFO  UtilityClass:106 - wait for element ele value[[ChromeDriver: chrome on WINDOWS (47d9dad7000572f7640dd7e1b1acc846)] -> xpath: //input[@placeholder='Custom body']]
2020-08-30 22:08:243 INFO  UtilityClass:106 - wait for element ele value[[ChromeDriver: chrome on WINDOWS (47d9dad7000572f7640dd7e1b1acc846)] -> xpath: //button[contains(text(),'SEND')]]
2020-08-30 22:08:505 INFO  LoginStep:38 - Entering username and password and click on login button
